Time=152909 X=-11868 Y=-4787
Time=153827 X=-11868 Y=-4787
Time=154944 X=-11879.4 Y=-4628.28
Time=155892 X=-12021 Y=-4548
Time=157040 X=-12021 Y=-4548
Time=158048 X=-12021 Y=-4548
Time=159072 X=-12021 Y=-4548
Time=160107 X=-12021 Y=-4548
Time=161159 X=-12020.9 Y=-4564.09
Time=162174 X=-12019 Y=-4915
Time=163213 X=-12019 Y=-4915
Time=164213 X=-12019 Y=-4915
Time=165266 X=-12019 Y=-4915
Time=166254 X=-12071.1 Y=-4950.67
Time=167270 X=-12388.7 Y=-5096.87
Time=168274 X=-12388.7 Y=-5096.87
Time=169295 X=-12451.4 Y=-5067.73
Time=170337 X=-12723.5 Y=-4941.21
Time=171359 X=-12630 Y=-4675.37
Time=172355 X=-12522.1 Y=-4409.62
Time=173376 X=-12446.2 Y=-4222.85
Time=174449 X=-12446.2 Y=-4222.85
Time=175468 X=-12446.2 Y=-4222.85
Time=176494 X=-12446.2 Y=-4222.85
Time=177523 X=-12446.2 Y=-4222.85
Time=178545 X=-12446.2 Y=-4222.85
Time=179589 X=-12310.3 Y=-4166.75
Time=180565 X=-12181 Y=-4195.72
Time=181636 X=-12079.8 Y=-4593.29
Time=182635 X=-12045.5 Y=-4728.25
Time=183666 X=-11847.4 Y=-4638.95
Time=184677 X=-11492.4 Y=-4477.13
Time=185692 X=-11358.9 Y=-4416.25
Time=186670 X=-11358.9 Y=-4416.25
Time=187701 X=-11358.9 Y=-4416.25
Time=188699 X=-11358.9 Y=-4416.25
Time=189711 X=-11358.9 Y=-4416.25
Time=190725 X=-11358.9 Y=-4416.25
Time=191739 X=-11358.9 Y=-4416.25
Time=192715 X=-11358.9 Y=-4416.25
Time=193819 X=-11358.9 Y=-4416.25
Time=194804 X=-11358.9 Y=-4416.25
Time=195833 X=-11358.9 Y=-4416.25
Time=196844 X=-11358.9 Y=-4416.25
Time=197827 X=-11358.9 Y=-4416.25
Time=198865 X=-11358.9 Y=-4416.25
Time=199864 X=-11358.9 Y=-4416.25
Time=200851 X=-11358.9 Y=-4416.25
Time=201844 X=-11358.9 Y=-4416.25
Time=202916 X=-11358.9 Y=-4416.25
Time=203926 X=-11358.9 Y=-4416.25
Time=204955 X=-11358.9 Y=-4416.25
