Time=158943 X=-9402.5 Y=13304.8
Time=159992 X=-9402.5 Y=13304.8
Time=161004 X=-9402.5 Y=13304.8
Time=162034 X=-9402.5 Y=13304.8
Time=163011 X=-9402.5 Y=13304.8
Time=164118 X=-9402.5 Y=13304.8
Time=165125 X=-9402.5 Y=13304.8
Time=166166 X=-9402.5 Y=13304.8
Time=167177 X=-9553.2 Y=13376.4
Time=168206 X=-9915.41 Y=13528.6
Time=169229 X=-10235.6 Y=13635.2
Time=170226 X=-10235.6 Y=13635.2
Time=171295 X=-10235.6 Y=13635.2
Time=172317 X=-10235.6 Y=13635.2
Time=173371 X=-10520.8 Y=13813.5
Time=174402 X=-10855.8 Y=14023
Time=175440 X=-11163 Y=14215
Time=176490 X=-10886.9 Y=14077.7
Time=177538 X=-10524.7 Y=13897.7
Time=178576 X=-10166 Y=13719.3
Time=179610 X=-9808.72 Y=13541.7
Time=180662 X=-9447.76 Y=13362.3
Time=181691 X=-9417.58 Y=13347.2
Time=182725 X=-9652.12 Y=13087.6
Time=183752 X=-9929.04 Y=12808.2
Time=184820 X=-10217 Y=12517.6
Time=185810 X=-10483.9 Y=12248.3
Time=186828 X=-10633.7 Y=11920.5
Time=187903 X=-10630.6 Y=11508.7
Time=188868 X=-10606.6 Y=11140.1
Time=189936 X=-10537.4 Y=10737
Time=190939 X=-10473.8 Y=10386.8
Time=192013 X=-10400.2 Y=9982.01
Time=193034 X=-10330.2 Y=9597.23
Time=194079 X=-10287.1 Y=9360.19
Time=195104 X=-10287.1 Y=9360.19
Time=196138 X=-10287.1 Y=9360.19
Time=197170 X=-10287.1 Y=9360.19
Time=198193 X=-10287.1 Y=9360.19
Time=199258 X=-10287.1 Y=9360.19
Time=200268 X=-10287.1 Y=9360.19
Time=201299 X=-10287.1 Y=9360.19
Time=202352 X=-10287.1 Y=9360.19
Time=203385 X=-10287.1 Y=9360.19
Time=204440 X=-10287.1 Y=9360.19
Time=205427 X=-10287.1 Y=9360.19
Time=206492 X=-10287.1 Y=9360.19
Time=207547 X=-10335 Y=9578.5
Time=208605 X=-10400.2 Y=9876.14
Time=209560 X=-10595.7 Y=9724.82
Time=210650 X=-10921.2 Y=9463.27
Time=211720 X=-11230.7 Y=9195
Time=212667 X=-11411 Y=9018
Time=213745 X=-11411 Y=9018
Time=214805 X=-11411 Y=9018
Time=215842 X=-11411 Y=9018
Time=216893 X=-11411 Y=9018
Time=217902 X=-11372.6 Y=9211.17
Time=218924 X=-11296.4 Y=9595.14
Time=220018 X=-11185.8 Y=9968.58
Time=221022 X=-10825.4 Y=9960.11
Time=222079 X=-10569.1 Y=9932.95
Time=223038 X=-10569.1 Y=9932.95
Time=224107 X=-10569.1 Y=9932.95
Time=225138 X=-10569.1 Y=9932.95
Time=226177 X=-10562.6 Y=9918.02
Time=227214 X=-10600.3 Y=10260.8
Time=228254 X=-10898 Y=9996.01
Time=229306 X=-11097.3 Y=9735.34
Time=230281 X=-11396.1 Y=9511.32
Time=231387 X=-11694 Y=9288
Time=232355 X=-11421.7 Y=9209.54
Time=233403 X=-11261.7 Y=9111.83
Time=234399 X=-11142.3 Y=9212.24
Time=235389 X=-10886.1 Y=9491.79
Time=236399 X=-10624.7 Y=9776.99
Time=237405 X=-10498 Y=9915.21
Time=238484 X=-10394.4 Y=9877.35
Time=239495 X=-10071.2 Y=9755.08
Time=240482 X=-9805.38 Y=9654.49
Time=241508 X=-9572.58 Y=9566.42
Time=242506 X=-9572.58 Y=9566.42
Time=243556 X=-9737.39 Y=9877.28
Time=244576 X=-9925.38 Y=10219.8
Time=245621 X=-10118 Y=10570.7
Time=246632 X=-10211.5 Y=10871.1
Time=247681 X=-10423 Y=11212.7
Time=248689 X=-10626.2 Y=11541
Time=249709 X=-10831.8 Y=11873.2
Time=250713 X=-10790.5 Y=12144.4
Time=251722 X=-10734.6 Y=12511.3
Time=252723 X=-10676.9 Y=12890.3
Time=253750 X=-10589.8 Y=13237.4
Time=254742 X=-10536.6 Y=13613.6
Time=255780 X=-10481 Y=14007.3
Time=256795 X=-10426.6 Y=14392.2
Time=257807 X=-10372.4 Y=14776.1
Time=258856 X=-10316.1 Y=15173.9
Time=259885 X=-10320.4 Y=15443.6
