Time=2382 X=-22432 Y=16466
Time=3706 X=-22055.4 Y=16406.4
Time=4761 X=-21656.2 Y=16343.2
Time=5821 X=-21255.1 Y=16279.7
Time=6837 X=-21205.6 Y=16271.9
Time=7828 X=-21300.6 Y=16078.3
Time=8853 X=-21473.5 Y=15725.8
Time=9859 X=-21643.2 Y=15379.8
Time=10915 X=-21821.4 Y=15016.7
Time=11900 X=-21966.6 Y=14720.6
Time=12913 X=-22137.5 Y=14372.2
Time=13959 X=-21980.7 Y=14666.3
Time=14965 X=-21800.5 Y=15006.9
Time=16034 X=-21608 Y=15370.9
Time=17001 X=-21433.4 Y=15700.7
Time=18033 X=-21247.2 Y=16052.7
Time=19056 X=-21204 Y=16064.2
Time=20073 X=-21342.9 Y=15698.2
Time=21082 X=-21460.7 Y=15388.1
Time=22123 X=-21602.2 Y=15015.3
Time=23149 X=-21741.6 Y=14647.9
Time=24129 X=-21874.9 Y=14296.9
Time=25196 X=-22019.9 Y=13914.8
Time=26215 X=-22158.4 Y=13549.9
Time=27224 X=-22323.1 Y=13200.2
Time=28254 X=-22495.5 Y=12845.3
Time=29247 X=-22673.4 Y=12548.6
Time=30291 X=-22919 Y=12238.2
Time=31066 X=-22919 Y=12238.2
Time=32358 X=-22919 Y=12238.2
Time=33349 X=-22919 Y=12238.2
Time=34401 X=-22919 Y=12238.2
Time=35417 X=-22919 Y=12238.2
Time=36433 X=-22919 Y=12238.2
Time=37435 X=-22919 Y=12238.2
Time=38441 X=-22919 Y=12238.2
Time=39468 X=-22919 Y=12238.2
Time=40486 X=-22919 Y=12238.2
Time=41493 X=-22919 Y=12238.2
Time=42551 X=-22919 Y=12238.2
Time=43518 X=-22919 Y=12238.2
Time=44547 X=-22919 Y=12238.2
Time=45567 X=-22919 Y=12238.2
Time=46566 X=-22919 Y=12238.2
Time=47571 X=-22919 Y=12238.2
Time=48602 X=-22919 Y=12238.2
Time=49562 X=-22919 Y=12238.2
Time=50641 X=-22919 Y=12238.2
Time=51633 X=-22919 Y=12238.2
Time=52647 X=-22919 Y=12238.2
Time=53646 X=-22919 Y=12238.2
Time=54650 X=-22919 Y=12238.2
Time=55661 X=-22919 Y=12238.2
Time=56697 X=-22919 Y=12238.2
Time=57685 X=-22919 Y=12238.2
Time=58707 X=-22919 Y=12238.2
Time=59726 X=-22919 Y=12238.2
Time=60747 X=-22919 Y=12238.2
Time=61766 X=-22919 Y=12238.2
Time=62760 X=-22919 Y=12238.2
Time=63787 X=-22919 Y=12238.2
Time=64796 X=-22919 Y=12238.2
Time=65812 X=-22919 Y=12238.2
Time=66815 X=-22919 Y=12238.2
Time=67838 X=-22919 Y=12238.2
Time=68858 X=-22919 Y=12238.2
Time=69858 X=-22919 Y=12238.2
Time=70893 X=-22919 Y=12238.2
Time=71891 X=-22919 Y=12238.2
Time=72911 X=-22919 Y=12238.2
Time=73924 X=-22919 Y=12238.2
Time=74936 X=-22919 Y=12238.2
Time=75958 X=-22919 Y=12238.2
Time=76965 X=-22919 Y=12238.2
Time=77988 X=-22919 Y=12238.2
Time=78986 X=-22919 Y=12238.2
Time=80009 X=-22919 Y=12238.2
Time=81020 X=-22919 Y=12238.2
Time=82034 X=-22919 Y=12238.2
Time=83034 X=-22919 Y=12238.2
Time=84021 X=-22919 Y=12238.2
Time=85040 X=-22919 Y=12238.2
Time=86092 X=-22919 Y=12238.2
Time=87072 X=-22919 Y=12238.2
Time=88149 X=-22919 Y=12238.2
Time=89145 X=-22919 Y=12238.2
Time=90131 X=-22919 Y=12238.2
Time=91140 X=-22919 Y=12238.2
Time=92170 X=-22919 Y=12238.2
Time=93186 X=-22919 Y=12238.2
Time=94219 X=-22919 Y=12238.2
Time=95218 X=-22919 Y=12238.2
Time=96221 X=-22919 Y=12238.2
