Time=164384 X=-2183.08 Y=15106.5
Time=165432 X=-2183.08 Y=15106.5
Time=166449 X=-2183.08 Y=15106.5
Time=167432 X=-2183.08 Y=15106.5
Time=168557 X=-2183.08 Y=15106.5
Time=169481 X=-2183.08 Y=15106.5
Time=170614 X=-2183.08 Y=15106.5
Time=171695 X=-2183.08 Y=15106.5
Time=172671 X=-2183.08 Y=15106.5
Time=173688 X=-2183.08 Y=15106.5
Time=174728 X=-2183.08 Y=15106.5
Time=175782 X=-2183.08 Y=15106.5
Time=176798 X=-2183.08 Y=15106.5
Time=177789 X=-2183.08 Y=15106.5
Time=178792 X=-2199.62 Y=15146.8
Time=179815 X=-2285.64 Y=15355.9
Time=180863 X=-2285.64 Y=15355.9
Time=181864 X=-2285.64 Y=15355.9
Time=182909 X=-2285.64 Y=15355.9
Time=183936 X=-1968.76 Y=15188.3
Time=184936 X=-1585.73 Y=15191.4
Time=185945 X=-1199.26 Y=15194.6
Time=186982 X=-972.447 Y=15412.1
Time=188005 X=-792.421 Y=15666.8
Time=189040 X=-682.602 Y=16028.8
Time=190076 X=-639.116 Y=16423.2
Time=191025 X=-599.281 Y=16784.5
Time=192108 X=-553.822 Y=17196.9
Time=193153 X=-509.957 Y=17594.7
Time=194149 X=-468.15 Y=17974
Time=195170 X=-444.628 Y=18138.6
Time=196160 X=-449.059 Y=17763.6
Time=197193 X=-453.74 Y=17367.4
Time=198217 X=-458.41 Y=16972.3
Time=199225 X=-463.006 Y=16583.3
Time=200278 X=-467.808 Y=16176.9
Time=201295 X=-472.435 Y=15785.4
Time=202290 X=-473.654 Y=15682.2
Time=203357 X=-736.181 Y=15602.8
Time=204340 X=-980.776 Y=15377.2
Time=205349 X=-1177.65 Y=15184.1
Time=206378 X=-1473.13 Y=15161.3
Time=207375 X=-1759.41 Y=15139.2
Time=208412 X=-2057.18 Y=15116.3
Time=209431 X=-2229 Y=15103
Time=210483 X=-2317.42 Y=15304.7
Time=211512 X=-2424.84 Y=15549.3
Time=212557 X=-2350.15 Y=15485.2
Time=213581 X=-2052.55 Y=15229.7
Time=214604 X=-1686.09 Y=15190.6
Time=215615 X=-1298.85 Y=15193.8
Time=216628 X=-921.137 Y=15209.9
Time=217696 X=-530.105 Y=15263
Time=218712 X=-554.886 Y=15238.5
Time=219735 X=-945.141 Y=15203.1
Time=220765 X=-1339.61 Y=15193.4
Time=221767 X=-1723.41 Y=15190.3
Time=222796 X=-2066.05 Y=15215.3
Time=223820 X=-2425.06 Y=15373.3
Time=224882 X=-2508.51 Y=15173.6
Time=225876 X=-2504.99 Y=14792.8
Time=226913 X=-2501.32 Y=14395.6
Time=227902 X=-2521.63 Y=14019.7
Time=228928 X=-2616.9 Y=13638.4
Time=229967 X=-2421.54 Y=13350
Time=230985 X=-2215.63 Y=13183.9
Time=232010 X=-2215.63 Y=13183.9
Time=233040 X=-2215.63 Y=13183.9
Time=234047 X=-2215.63 Y=13183.9
Time=235125 X=-2215.63 Y=13183.9
Time=236075 X=-2215.63 Y=13183.9
Time=237133 X=-2215.63 Y=13183.9
Time=238124 X=-2215.63 Y=13183.9
Time=239151 X=-2215.63 Y=13183.9
Time=240172 X=-2215.63 Y=13183.9
Time=241150 X=-2215.63 Y=13183.9
Time=242224 X=-2215.63 Y=13183.9
Time=243201 X=-2241.95 Y=13108.3
Time=244224 X=-2371.72 Y=12735.6
Time=245213 X=-2477.67 Y=12370.6
Time=246221 X=-2515.15 Y=11983.4
Time=247262 X=-2527.55 Y=11865.9
Time=248292 X=-2527.55 Y=11865.9
Time=249285 X=-2517.38 Y=12020.4
Time=250323 X=-2644.89 Y=11901.1
Time=251378 X=-2718 Y=11789
Time=252415 X=-2718 Y=11789
Time=253399 X=-2718 Y=11789
Time=254466 X=-2718 Y=11789
Time=255460 X=-2718 Y=11789
Time=256535 X=-2707.41 Y=11816.1
Time=257503 X=-2588.02 Y=12114
Time=258516 X=-2532.55 Y=12497.6
Time=259551 X=-2479.45 Y=12890.5
Time=260583 X=-2454.82 Y=13072.7
Time=261566 X=-2454.82 Y=13072.7
Time=262533 X=-2465.85 Y=12768.8
Time=263642 X=-2483 Y=12416
Time=264663 X=-2364.84 Y=12615.5
