Time=3025 X=-21247 Y=-10668
Time=4080 X=-21112.9 Y=-10667.9
Time=5051 X=-20741 Y=-10667.5
Time=6076 X=-20348.4 Y=-10665.3
Time=7082 X=-20092.4 Y=-10648.6
Time=8094 X=-20092.4 Y=-10648.6
Time=9109 X=-20092.4 Y=-10648.6
Time=10123 X=-20092.4 Y=-10648.6
Time=11147 X=-20092.4 Y=-10648.6
Time=12161 X=-20092.4 Y=-10648.6
Time=13176 X=-20092.4 Y=-10648.6
Time=14203 X=-20092.4 Y=-10648.6
Time=15220 X=-20092.4 Y=-10648.6
Time=16228 X=-20092.4 Y=-10648.6
Time=17238 X=-20092.4 Y=-10648.6
Time=18257 X=-20092.4 Y=-10648.6
Time=19267 X=-20067.3 Y=-10653
Time=20293 X=-19682 Y=-10590
Time=21286 X=-19334.4 Y=-10435.7
Time=22301 X=-19052.2 Y=-10169.1
Time=23325 X=-18772.8 Y=-9893.81
Time=24317 X=-18502.2 Y=-9626.77
Time=25317 X=-18238.2 Y=-9368.95
Time=26312 X=-17884.3 Y=-9261.67
Time=27329 X=-17555.7 Y=-9174.12
Time=28327 X=-17177 Y=-9122.46
Time=29348 X=-16787.9 Y=-9082.96
Time=30380 X=-16394.1 Y=-9048.47
Time=31371 X=-16015.8 Y=-9017.03
Time=32394 X=-15625.3 Y=-8984.7
Time=33416 X=-15235.2 Y=-8952.41
Time=34435 X=-14846.2 Y=-8920.22
Time=35457 X=-14780.9 Y=-8914.82
Time=36469 X=-14780.9 Y=-8914.82
Time=37485 X=-14780.9 Y=-8914.82
Time=38490 X=-14780.9 Y=-8914.82
Time=39519 X=-14780.9 Y=-8914.82
Time=40549 X=-14780.9 Y=-8914.82
Time=41582 X=-14780.9 Y=-8914.82
Time=42573 X=-14780.9 Y=-8914.82
Time=43612 X=-14723 Y=-8909.93
Time=44630 X=-14543.1 Y=-8894.02
Time=45648 X=-14262 Y=-8816.4
Time=46660 X=-14063.8 Y=-8699.85
Time=47667 X=-13939.8 Y=-8624.73
Time=48697 X=-13820.4 Y=-8540.45
Time=49713 X=-13719.6 Y=-8439.59
Time=50725 X=-13607.6 Y=-8337.56
Time=51752 X=-13438.3 Y=-8237.47
Time=52758 X=-13262.5 Y=-8158.92
Time=53777 X=-13080.2 Y=-8089.28
Time=54782 X=-12896.4 Y=-8032.78
Time=55817 X=-12700.4 Y=-8003.55
Time=56829 X=-12506.9 Y=-7995.33
Time=57840 X=-12341.3 Y=-8008.23
Time=58850 X=-12276.9 Y=-8049.19
Time=59863 X=-12101 Y=-8053.19
Time=60871 X=-11908.1 Y=-8057.57
Time=61886 X=-11717.6 Y=-8093.59
Time=62946 X=-11530.3 Y=-8171.61
Time=63954 X=-11354.5 Y=-8251.4
Time=64957 X=-11179.6 Y=-8330.79
Time=65964 X=-10883.2 Y=-8469.56
Time=66969 X=-10633.1 Y=-8661.53
Time=67979 X=-10633.1 Y=-8661.53
Time=68972 X=-10633.1 Y=-8661.53
Time=70020 X=-10633.1 Y=-8661.53
Time=71023 X=-10633.1 Y=-8661.53
Time=72040 X=-10633.1 Y=-8661.53
Time=73042 X=-10645 Y=-8752.78
Time=74050 X=-10663.6 Y=-8896.73
Time=75073 X=-10682.5 Y=-9042.82
Time=76079 X=-10701.1 Y=-9186.49
Time=77114 X=-10713.1 Y=-9279.31
Time=78110 X=-10713.1 Y=-9279.31
Time=79101 X=-10713.1 Y=-9279.31
Time=80142 X=-10713.1 Y=-9279.31
Time=81132 X=-10713.1 Y=-9279.31
Time=82150 X=-10713.1 Y=-9279.31
Time=83160 X=-10713.1 Y=-9279.31
Time=84178 X=-10713.1 Y=-9279.31
Time=85194 X=-10713.1 Y=-9279.31
Time=86221 X=-10713.1 Y=-9279.31
